Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
1,1610612737,Atlanta Hawks*,17,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,17.8,29.8,0.599,3.5,9.5,0.37,7.8,19,0.412,1,2.9,0.347,1.4,3.3,0.414,6.5,19.6,0.331,0,0.2,0,18.3,31.3,0.586,2.3,6.5,0.357,2.2,5.7,0.392,5,11.8,0.428,6.5,17.9,0.366,3.6,10.8,0.331,0,0.3,0.143,0.1,0.2,0.4,0,0.2,0
2,1610612738,Boston Celtics*,17,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,16.6,27.3,0.61,4.3,10.2,0.417,5.7,14.2,0.404,1.4,3.6,0.388,1.6,3.9,0.421,8.9,25.6,0.349,0,0.2,0,17.4,29.2,0.595,2.9,7,0.415,2,4.8,0.425,3.1,7.4,0.411,7.3,19.1,0.383,5.9,17,0.348,0,0.3,0.125,0,0.2,0.167,0,0.3,0
3,1610612751,Brooklyn Nets,17,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,17.5,29.7,0.591,5.4,12.7,0.424,4.2,11.2,0.375,1.2,3.7,0.34,1.4,3.3,0.416,8,24.3,0.331,0,0.3,0,18.4,31.8,0.58,3.9,9.3,0.42,2.2,5.5,0.401,1.9,5.4,0.345,6.6,18.5,0.356,4.8,14.1,0.338,0.1,0.4,0.143,0,0.2,0,0,0.3,0.042
4,1610612766,Charlotte Hornets,17,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,15.2,25.5,0.598,4.7,11.5,0.407,7.7,19.7,0.393,0.8,2.2,0.364,0.7,1.7,0.387,8.5,24.4,0.35,0,0.2,0.063,15.9,27,0.59,3.3,8.4,0.395,2.7,6.4,0.426,4.7,12.2,0.387,5.9,16.2,0.365,5.1,14.8,0.347,0,0.2,0,0,0.2,0,0,0.2,0.059
5,1610612741,Chicago Bulls*,17,41,41,42,40,0.43,-0.39,0.03,107.4,107,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,15.9,27,0.59,5.7,13.3,0.429,9.4,24.5,0.385,1.6,3.5,0.448,1.1,3.1,0.361,4.9,15.6,0.315,0,0.1,0,16.8,29,0.579,4.4,9.9,0.441,3.1,8,0.387,5.2,13.5,0.383,6,16.1,0.377,3.1,10.3,0.305,0.1,0.1,0.5,0,0.1,0,0,0.2,0
6,1610612739,Cleveland Cavaliers*,17,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,16.5,25.4,0.647,3.3,8.6,0.384,7.2,17,0.422,2.3,5.4,0.437,1.9,4.9,0.393,8.7,23.4,0.371,0,0.1,0,17,26.8,0.635,2.4,6.7,0.364,2.4,6,0.4,3.9,8.5,0.459,8.3,21.1,0.393,5.7,15.1,0.381,0.2,0.7,0.289,0,0.2,0.2,0,0.2,0
7,1610612742,Dallas Mavericks,17,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,11.5,18.6,0.618,4.9,10.9,0.449,9.1,22.7,0.402,1.1,3,0.376,1.2,3.2,0.366,8.4,23.8,0.354,0,0.2,0,12.2,20.1,0.606,3,6.9,0.436,3.2,7.1,0.447,5.8,14.3,0.405,8.1,21.9,0.371,3.9,11.6,0.335,0.1,0.3,0.25,0,0.1,0,0,0.3,0
8,1610612743,Denver Nuggets,17,40,42,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,19.6,32.4,0.606,5.3,11.8,0.448,5.7,14.7,0.384,1.2,3.3,0.353,1,2.4,0.415,8.5,22.9,0.37,0,0.3,0,20.9,35,0.596,3.3,7.6,0.435,2.1,5.5,0.38,3,7.5,0.407,6.5,17.2,0.379,5.3,14.5,0.37,0.1,0.3,0.182,0,0.1,0,0,0.3,0
9,1610612765,Detroit Pistons,17,37,45,38,44,-1.12,-0.17,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,14.8,24,0.615,6.8,16.7,0.408,10.6,24.7,0.428,1,2.5,0.393,0.8,2.3,0.366,5.9,18.2,0.322,0,0.4,0.033,15.5,26.2,0.594,5.3,12.8,0.409,4.2,9.5,0.447,6.4,14.7,0.432,4.1,10.9,0.378,4.3,13.9,0.306,0.1,0.3,0.25,0,0.3,0,0,0.4,0.029
10,1610612744,Golden State Warriors*,17,67,15,67,15,11.63,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,19,28.4,0.67,4.3,9.8,0.437,7.8,17.6,0.442,1.4,3.1,0.43,1.4,3.5,0.394,9.2,24.2,0.381,0,0.4,0.032,19.6,29.8,0.657,2.3,5.5,0.412,3.3,7.7,0.427,4.7,10.2,0.46,5.9,14,0.422,7.1,18.9,0.378,0.3,0.7,0.349,0,0.1,0,0,0.5,0.027
